TrendID,ProductGroupID,TrendDescription,StartDate,EndDate,Region,SalesForecast,CompetitorAnalysis,MarketGrowthRate,CustomerSentiment,TrendScore
1,6,Trend 1,01/31/2023,01/31/2024,North,139121,Non-competitive,0.08942375556121344,Neutral,1
2,9,Trend 2,02/28/2023,02/29/2024,West,133736,Competitive,0.05786127100601997,Negative,5
3,6,Trend 3,03/31/2023,03/31/2024,West,71499,Non-competitive,0.0803543756856346,Neutral,8
4,1,Trend 4,04/30/2023,04/30/2024,East,141139,Competitive,0.026960840822013547,Negative,5
5,1,Trend 5,05/31/2023,05/31/2024,South,83577,Competitive,0.08768001341497016,Positive,6
6,2,Trend 6,06/30/2023,06/30/2024,West,89783,Non-competitive,0.026868229365281632,Negative,1
7,8,Trend 7,07/31/2023,07/31/2024,South,60646,Competitive,0.014928771345987094,Neutral,9
8,7,Trend 8,08/31/2023,08/31/2024,South,149509,Competitive,0.04793419093852884,Positive,6
9,3,Trend 9,09/30/2023,09/30/2024,West,132793,Competitive,0.05995939870075947,Negative,4
10,5,Trend 10,10/31/2023,10/31/2024,East,149936,Non-competitive,0.09736678085692552,Positive,5
11,6,Trend 11,11/30/2023,11/30/2024,North,148139,Non-competitive,0.018257845009707237,Neutral,3
12,3,Trend 12,12/31/2023,12/31/2024,East,121515,Non-competitive,0.03465262839065995,Neutral,8
13,5,Trend 13,01/31/2024,01/31/2025,South,140706,Non-competitive,0.019459636217384453,Positive,9
14,3,Trend 14,02/29/2024,02/28/2025,East,99121,Competitive,0.04513956730638548,Positive,4
15,5,Trend 15,03/31/2024,03/31/2025,North,86470,Competitive,0.036010997486899274,Positive,5
16,8,Trend 16,04/30/2024,04/30/2025,West,58868,Non-competitive,0.0561970314521116,Positive,9
17,8,Trend 17,05/31/2024,05/31/2025,North,127164,Non-competitive,0.04134310135756723,Neutral,8
18,2,Trend 18,06/30/2024,06/30/2025,East,57430,Competitive,0.0935405216425091,Positive,6
19,8,Trend 19,07/31/2024,07/31/2025,South,66038,Competitive,0.08109530167447364,Negative,1
20,1,Trend 20,08/31/2024,08/31/2025,East,51517,Competitive,0.0874910231752578,Neutral,3
21,7,Trend 21,09/30/2024,09/30/2025,West,91200,Non-competitive,0.021655085134860627,Positive,6
22,8,Trend 22,10/31/2024,10/31/2025,South,123081,Non-competitive,0.061756315028984266,Neutral,7
23,7,Trend 23,11/30/2024,11/30/2025,West,80511,Non-competitive,0.029330428229637287,Negative,9
24,2,Trend 24,12/31/2024,12/31/2025,West,55566,Non-competitive,0.08814147142968001,Neutral,8
25,1,Trend 25,01/31/2025,01/31/2026,West,90775,Non-competitive,0.011351747957808167,Negative,4
26,2,Trend 26,02/28/2025,02/28/2026,East,118650,Competitive,0.019516979361704698,Neutral,6
27,9,Trend 27,03/31/2025,03/31/2026,East,110820,Competitive,0.04384513679925841,Negative,5
28,9,Trend 28,04/30/2025,04/30/2026,East,130753,Competitive,0.046188451548387424,Negative,8
29,4,Trend 29,05/31/2025,05/31/2026,South,132610,Non-competitive,0.03494980746808144,Positive,6
30,9,Trend 30,06/30/2025,06/30/2026,North,130150,Non-competitive,0.018645669888394528,Positive,6
31,8,Trend 31,07/31/2025,07/31/2026,South,140114,Competitive,0.020685736460133424,Positive,1
32,4,Trend 32,08/31/2025,08/31/2026,West,146703,Non-competitive,0.03861502784626005,Neutral,8
33,7,Trend 33,09/30/2025,09/30/2026,East,124601,Non-competitive,0.09557135506699485,Positive,8
34,6,Trend 34,10/31/2025,10/31/2026,South,113616,Competitive,0.02866659083373916,Negative,9
35,2,Trend 35,11/30/2025,11/30/2026,North,88492,Non-competitive,0.07725522889533003,Negative,6
36,4,Trend 36,12/31/2025,12/31/2026,East,92343,Non-competitive,0.03323697976067356,Neutral,2
37,5,Trend 37,01/31/2026,01/31/2027,East,125976,Non-competitive,0.013351623004970633,Neutral,3
38,9,Trend 38,02/28/2026,02/28/2027,West,139097,Non-competitive,0.011444698825035586,Negative,3
39,2,Trend 39,03/31/2026,03/31/2027,North,130222,Non-competitive,0.023743533806305887,Neutral,7
40,5,Trend 40,04/30/2026,04/30/2027,North,52059,Competitive,0.0515875773697968,Positive,4
41,1,Trend 41,05/31/2026,05/31/2027,East,53170,Competitive,0.07803109877840246,Negative,9
42,4,Trend 42,06/30/2026,06/30/2027,West,72824,Non-competitive,0.07559334387506385,Negative,6
43,3,Trend 43,07/31/2026,07/31/2027,West,54059,Non-competitive,0.04171504982347331,Neutral,3
44,1,Trend 44,08/31/2026,08/31/2027,South,85660,Competitive,0.053122535088662236,Negative,1
45,5,Trend 45,09/30/2026,09/30/2027,West,137531,Competitive,0.08326663780380987,Negative,1
46,3,Trend 46,10/31/2026,10/31/2027,North,132109,Non-competitive,0.08545626157410811,Positive,6
47,8,Trend 47,11/30/2026,11/30/2027,East,138706,Non-competitive,0.0387925030376187,Positive,1
48,8,Trend 48,12/31/2026,12/31/2027,North,118434,Competitive,0.010383851656639643,Negative,1
49,9,Trend 49,01/31/2027,01/31/2028,West,139309,Non-competitive,0.014223775890360939,Positive,2
50,7,Trend 50,02/28/2027,02/29/2028,North,77369,Competitive,0.07640266398435856,Negative,8
51,4,Trend 51,03/31/2027,03/31/2028,East,71807,Competitive,0.03453690529652573,Neutral,5
52,8,Trend 52,04/30/2027,04/30/2028,East,68554,Competitive,0.05333372309679871,Positive,2
53,8,Trend 53,05/31/2027,05/31/2028,North,123186,Non-competitive,0.02728281394280299,Neutral,1
54,5,Trend 54,06/30/2027,06/30/2028,West,66464,Non-competitive,0.0862401624473975,Positive,9
55,6,Trend 55,07/31/2027,07/31/2028,West,115911,Competitive,0.05530398486728978,Negative,7
56,4,Trend 56,08/31/2027,08/31/2028,South,87503,Non-competitive,0.05744441581500353,Neutral,7
57,7,Trend 57,09/30/2027,09/30/2028,South,60097,Competitive,0.03592716292771794,Neutral,4
58,9,Trend 58,10/31/2027,10/31/2028,North,61595,Competitive,0.05607993075975307,Negative,1
59,1,Trend 59,11/30/2027,11/30/2028,West,88913,Competitive,0.010176728084426804,Neutral,6
60,3,Trend 60,12/31/2027,12/31/2028,East,145412,Competitive,0.03495655363088891,Positive,2
61,8,Trend 61,01/31/2028,01/31/2029,West,91585,Non-competitive,0.04138866851845924,Negative,1
62,8,Trend 62,02/29/2028,02/28/2029,East,68752,Non-competitive,0.03555557976601324,Negative,4
63,8,Trend 63,03/31/2028,03/31/2029,South,112155,Competitive,0.017735700481967605,Positive,4
64,4,Trend 64,04/30/2028,04/30/2029,East,55093,Non-competitive,0.056960308831065266,Positive,9
65,1,Trend 65,05/31/2028,05/31/2029,East,122398,Non-competitive,0.08096312200361637,Positive,6
66,9,Trend 66,06/30/2028,06/30/2029,North,81595,Competitive,0.09483385920473547,Neutral,9
67,8,Trend 67,07/31/2028,07/31/2029,West,89102,Non-competitive,0.05475608129049972,Positive,1
68,8,Trend 68,08/31/2028,08/31/2029,South,131996,Competitive,0.06343784725198992,Positive,3
69,2,Trend 69,09/30/2028,09/30/2029,West,71552,Non-competitive,0.036177394402942355,Positive,3
70,2,Trend 70,10/31/2028,10/31/2029,South,54132,Non-competitive,0.023424355802816994,Positive,6
71,4,Trend 71,11/30/2028,11/30/2029,South,123265,Non-competitive,0.021868452165559698,Positive,5
72,1,Trend 72,12/31/2028,12/31/2029,East,99737,Non-competitive,0.07591246982826019,Neutral,1
73,9,Trend 73,01/31/2029,01/31/2030,South,98021,Non-competitive,0.0761022491814941,Negative,1
74,7,Trend 74,02/28/2029,02/28/2030,West,66755,Non-competitive,0.026141501497297166,Negative,5
75,5,Trend 75,03/31/2029,03/31/2030,South,84720,Non-competitive,0.047220434179821275,Negative,4
76,6,Trend 76,04/30/2029,04/30/2030,North,77719,Non-competitive,0.06347298951023855,Neutral,9
77,7,Trend 77,05/31/2029,05/31/2030,South,84688,Non-competitive,0.021275375156753387,Negative,4
78,3,Trend 78,06/30/2029,06/30/2030,West,129790,Competitive,0.08068320548819793,Positive,5
79,6,Trend 79,07/31/2029,07/31/2030,West,139880,Non-competitive,0.06579929829882152,Negative,4
80,8,Trend 80,08/31/2029,08/31/2030,East,131488,Competitive,0.0653699522357609,Positive,9
81,9,Trend 81,09/30/2029,09/30/2030,East,81632,Competitive,0.0731087282726769,Positive,9
82,5,Trend 82,10/31/2029,10/31/2030,North,80020,Competitive,0.0988464773859737,Negative,4
83,5,Trend 83,11/30/2029,11/30/2030,East,123178,Competitive,0.06061550103614605,Positive,3
84,8,Trend 84,12/31/2029,12/31/2030,West,118198,Non-competitive,0.08779746355285133,Neutral,7
85,8,Trend 85,01/31/2030,01/31/2031,East,122967,Competitive,0.04768378075514494,Positive,1
86,5,Trend 86,02/28/2030,02/28/2031,East,82444,Non-competitive,0.0689022416104691,Negative,4
87,1,Trend 87,03/31/2030,03/31/2031,West,130905,Competitive,0.09327350690728896,Neutral,6
88,3,Trend 88,04/30/2030,04/30/2031,North,132239,Non-competitive,0.06977357340796678,Negative,9
89,1,Trend 89,05/31/2030,05/31/2031,West,142925,Competitive,0.03727726083487596,Positive,6
90,8,Trend 90,06/30/2030,06/30/2031,West,82324,Competitive,0.0657951124475467,Neutral,7
91,2,Trend 91,07/31/2030,07/31/2031,East,146377,Competitive,0.041618648832237336,Neutral,6
92,8,Trend 92,08/31/2030,08/31/2031,West,73693,Non-competitive,0.03901300076209776,Negative,5
93,9,Trend 93,09/30/2030,09/30/2031,West,77586,Competitive,0.06491845528717333,Negative,4
94,5,Trend 94,10/31/2030,10/31/2031,West,147755,Non-competitive,0.024429090878954837,Negative,7
95,1,Trend 95,11/30/2030,11/30/2031,North,50640,Non-competitive,0.053806504218197805,Neutral,5
96,2,Trend 96,12/31/2030,12/31/2031,North,149362,Non-competitive,0.09510708564877522,Neutral,5
97,9,Trend 97,01/31/2031,01/31/2032,East,50198,Non-competitive,0.04455228177806842,Neutral,9
98,3,Trend 98,02/28/2031,02/29/2032,West,78688,Competitive,0.02700663339212303,Negative,1
99,4,Trend 99,03/31/2031,03/31/2032,East,59893,Competitive,0.0521955054677963,Neutral,3
